 17COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xDC, 0x00, 0x00, 0x00, 0x0
 18COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xDC, 0x00, 0x00, 0x00, 0x0
 19COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0xDC, 0x00, 0x00, 0x00, 0x0
 20COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0xDC, 0x00, 0x00, 0x00, 0x0
 21COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0xDC, 0x00, 0x00, 0x00, 0x0
 22COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0xDC, 0x00, 0x00, 0x00, 0x0
 23COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0xDC, 0x00, 0x00, 0x00, 0x0
 24COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0xDC, 0x00, 0x00, 0x00, 0x0
 25COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0xDC, 0x00, 0x00, 0x00, 0x0
 26COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0xDC, 0x00, 0x00, 0x00, 0x0
 27COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0xDC, 0x00, 0x00, 0x00, 0x0
 28COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0xDC, 0x00, 0x00, 0x00, 0x0
 29COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0xDC, 0x00, 0x00, 0x00, 0x0
 30COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0xDC, 0x00, 0x00, 0x00, 0x0
 16COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xBC, 0x00, 0x00, 0x00, 0x0
 17COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xBC, 0x00, 0x00, 0x00, 0x0
 18COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xBC, 0x00, 0x00, 0x00, 0x0
 19COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0xBC, 0x00, 0x00, 0x00, 0x0
 20COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0xBC, 0x00, 0x00, 0x00, 0x0
 21COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0xBC, 0x00, 0x00, 0x00, 0x0
 22COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0xBC, 0x00, 0x00, 0x00, 0x0
 23COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0xBC, 0x00, 0x00, 0x00, 0x0
 24COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0xBC, 0x00, 0x00, 0x00, 0x0
 25COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0xBC, 0x00, 0x00, 0x00, 0x0
 26COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0xBC, 0x00, 0x00, 0x00, 0x0
 27COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0xBC, 0x00, 0x00, 0x00, 0x0
 28COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0xBC, 0x00, 0x00, 0x00, 0x0
 29COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0xBC, 0x00, 0x00, 0x00, 0x0
 30COOL       HIGH    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0xBC, 0x00, 0x00, 0x00, 0x0
-  AUTO       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0x1C, 0x00, 0x00, 0x00, 0x0
-  AUTO       LOW     ON   0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0x5C, 0x00, 0x00, 0x00, 0x0
-  AUTO       MEDIUM  ON   0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0xDC, 0x00, 0x00, 0x00, 0x0
-  AUTO       HIGH    ON   0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0xBC, 0x00, 0x00, 0x00, 0x0
-  AUTO       AUTO    OFF  0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0x00, 0x00, 0x00, 0x00, 0x0
-  AUTO       LOW     OFF  0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0x40, 0x00, 0x00, 0x00, 0x0
-  AUTO       MEDIUM  OFF  0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0xC0, 0x00, 0x00, 0x00, 0x0
-  AUTO       HIGH    OFF  0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0xA0, 0x00, 0x00, 0x00, 0x0
-  DRY        AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x40, 0xF0, 0x1C, 0x00, 0x00, 0x00, 0x0
-  DRY        AUTO    OFF  0x64, 0x80, 0x00, 0x24, 0x40, 0xF0, 0x10, 0x00, 0x00, 0x00, 0x0
 16HEAT       AUTO    OFF  0x64, 0x80, 0x00, 0x24, 0x80, 0xF0, 0x00, 0x00, 0x00, 0x00, 0x0
 17HEAT       AUTO    OFF  0x64, 0x80, 0x00, 0x24, 0x80, 0x70, 0x00, 0x00, 0x00, 0x00, 0x0
